rel_path,size_bytes,width,height,orientation,aspect_ratio,aspect_bucket,recommended_use,notes
1000052027.JPG,354428,1200,1600,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052028.JPG,171810,1200,1600,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052029.JPG,333191,1200,1600,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052031.JPG,303881,942,2048,portrait,0.46,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052032.JPG,501882,1152,2048,portrait,0.5625,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052033.JPG,314884,1536,2048,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052145.JPG,615499,1536,2048,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052158.JPG,413408,1200,1600,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052167.JPG,443767,1536,2048,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052176 2.JPG,162469,1200,1600,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052181.JPG,318887,1538,2048,portrait,0.751,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052182.JPG,648708,1536,2048,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052183.JPG,664278,1536,2048,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052184.JPG,343212,1536,2048,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052187.JPG,159730,985,1360,portrait,0.7243,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052190.JPG,163394,1440,2015,portrait,0.7146,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052193.JPG,166352,747,1600,portrait,0.4669,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052203.JPG,720050,1536,2048,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052206.JPG,669678,1536,2048,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052209.JPG,520068,1536,2048,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052212.JPG,272362,1536,2048,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052215.JPG,290327,1536,2048,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052249.JPG,619416,1536,2048,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052250.JPG,445106,1536,2048,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
1000052251.JPG,326490,1536,2048,portrait,0.75,portrait,portrait / detail,"gallery, detail stack, service detail"
